time	V(c)
1.308499999999493e-002	4.713466e-003
1.310499999999493e-002	5.597850e-003
1.312499999999492e-002	6.383994e-003
1.314499999999491e-002	7.065219e-003
1.316499999999490e-002	7.636116e-003
1.318499999999490e-002	8.092420e-003
1.320499999999489e-002	8.430908e-003
1.322499999999488e-002	8.649291e-003
1.324499999999487e-002	8.746068e-003
1.326499999999486e-002	8.720368e-003
1.328499999999486e-002	8.572022e-003
1.330499999999485e-002	8.301834e-003
1.332499999999484e-002	7.911652e-003
1.334499999999483e-002	7.404309e-003
1.336499999999483e-002	6.783603e-003
1.338499999999482e-002	6.054382e-003
1.340499999999481e-002	5.222672e-003
1.342499999999480e-002	4.295815e-003
1.344499999999479e-002	3.282637e-003
1.346499999999479e-002	2.193612e-003
1.348499999999478e-002	1.041028e-003
1.350499999999477e-002	-1.608612e-004
1.352499999999476e-002	-1.395723e-003
1.354499999999476e-002	-2.645095e-003
1.356499999999475e-002	-3.888432e-003
1.358499999999474e-002	-5.103290e-003
1.360499999999473e-002	-6.265672e-003
1.362499999999473e-002	-7.350580e-003
1.364499999999472e-002	-8.332775e-003
1.366499999999471e-002	-9.187732e-003
1.368499999999470e-002	-9.892747e-003
1.370499999999469e-002	-1.042812e-002
1.372499999999469e-002	-1.077827e-002
1.374499999999468e-002	-1.093275e-002
1.376499999999467e-002	-1.088688e-002
1.378499999999466e-002	-1.064212e-002
1.380499999999466e-002	-1.020591e-002
1.382499999999465e-002	-9.591222e-003
1.384499999999464e-002	-8.815687e-003
1.386499999999463e-002	-7.900544e-003
1.388499999999462e-002	-6.869458e-003
1.390499999999462e-002	-5.747381e-003
1.392499999999461e-002	-4.559496e-003
1.394499999999460e-002	-3.330362e-003
1.396499999999459e-002	-2.083250e-003
1.398499999999459e-002	-8.396940e-004
1.400499999999458e-002	3.807717e-004
1.402499999999457e-002	1.560728e-003
1.404499999999456e-002	2.684865e-003
1.406499999999455e-002	3.739899e-003
1.408499999999455e-002	4.714438e-003
1.410499999999454e-002	5.598825e-003
1.412499999999453e-002	6.384972e-003
1.414499999999452e-002	7.066200e-003
1.416499999999452e-002	7.637098e-003
1.418499999999451e-002	8.093404e-003
1.420499999999450e-002	8.431892e-003
