time	V(b)
1.348499999999478e-002	6.927789e-001
1.350499999999477e-002	6.915770e-001
1.352499999999476e-002	6.903424e-001
1.354499999999476e-002	6.890935e-001
1.356499999999475e-002	6.878510e-001
1.358499999999474e-002	6.866371e-001
1.360499999999473e-002	6.854761e-001
1.362499999999473e-002	6.843927e-001
1.364499999999472e-002	6.834122e-001
1.366499999999471e-002	6.825591e-001
1.368499999999470e-002	6.818562e-001
1.370499999999469e-002	6.813229e-001
1.372499999999469e-002	6.809750e-001
1.374499999999468e-002	6.808228e-001
1.376499999999467e-002	6.808710e-001
1.378499999999466e-002	6.811180e-001
1.380499999999466e-002	6.815563e-001
1.382499999999465e-002	6.821731e-001
1.384499999999464e-002	6.829506e-001
1.386499999999463e-002	6.838676e-001
1.388499999999462e-002	6.849003e-001
1.390499999999462e-002	6.860238e-001
1.392499999999461e-002	6.872129e-001
1.394499999999460e-002	6.884429e-001
1.396499999999459e-002	6.896907e-001
1.398499999999459e-002	6.909346e-001
1.400499999999458e-002	6.921552e-001
1.402499999999457e-002	6.933349e-001
1.404499999999456e-002	6.944585e-001
1.406499999999455e-002	6.955128e-001
1.408499999999455e-002	6.964862e-001
1.410499999999454e-002	6.973693e-001
1.412499999999453e-002	6.981539e-001
1.414499999999452e-002	6.988333e-001
1.416499999999452e-002	6.994022e-001
1.418499999999451e-002	6.998565e-001
1.420499999999450e-002	7.001927e-001
1.422499999999449e-002	7.004088e-001
1.424499999999448e-002	7.005032e-001
1.426499999999448e-002	7.004751e-001
1.428499999999447e-002	7.003244e-001
1.430499999999446e-002	7.000519e-001
1.432499999999445e-002	6.996596e-001
1.434499999999445e-002	6.991502e-001
1.436499999999444e-002	6.985276e-001
1.438499999999443e-002	6.977967e-001
1.440499999999442e-002	6.969635e-001
1.442499999999442e-002	6.960355e-001
1.444499999999441e-002	6.950214e-001
